draw_number,number,date
45,8521,1986/11/01
45,4333,1986/11/01
45,2196,1986/11/01
45,0063,1986/11/01
45,1550,1986/11/01
45,1882,1986/11/01
45,1676,1986/11/01
45,3321,1986/11/01
45,5613,1986/11/01
45,4905,1986/11/01
46,9379,1986/11/02
46,3758,1986/11/02
46,7414,1986/11/02
46,2248,1986/11/02
46,1084,1986/11/02
46,2447,1986/11/02
46,5010,1986/11/02
46,8635,1986/11/02
46,4856,1986/11/02
46,8915,1986/11/02
46,3559,1986/11/02
46,2809,1986/11/02
46,3131,1986/11/02
46,9357,1986/11/02
46,7383,1986/11/02
46,3772,1986/11/02
46,7756,1986/11/02
46,1276,1986/11/02
46,2012,1986/11/02
46,4641,1986/11/02
46,2019,1986/11/02
47,8066,1986/11/08
47,3779,1986/11/08
47,0562,1986/11/08
47,1625,1986/11/08
47,2450,1986/11/08
47,9106,1986/11/08
47,1863,1986/11/08
47,8487,1986/11/08
47,1428,1986/11/08
47,3495,1986/11/08
47,4381,1986/11/08
47,2089,1986/11/08
47,8740,1986/11/08
47,4731,1986/11/08
47,2851,1986/11/08
47,4433,1986/11/08
47,0267,1986/11/08
47,3121,1986/11/08
47,3267,1986/11/08
47,9564,1986/11/08
47,3524,1986/11/08
48,0423,1986/11/09
48,6391,1986/11/09
48,7273,1986/11/09
48,6384,1986/11/09
48,1748,1986/11/09
48,9900,1986/11/09
48,4202,1986/11/09
48,7199,1986/11/09
48,8422,1986/11/09
48,9868,1986/11/09
48,4524,1986/11/09
48,1474,1986/11/09
48,9279,1986/11/09
48,5397,1986/11/09
48,3108,1986/11/09
48,9753,1986/11/09
48,4169,1986/11/09
48,8204,1986/11/09
48,7634,1986/11/09
48,6392,1986/11/09
48,6130,1986/11/09
49,3933,1986/11/15
49,5336,1986/11/15
49,7486,1986/11/15
49,6574,1986/11/15
49,9719,1986/11/15
49,6938,1986/11/15
49,3073,1986/11/15
49,6545,1986/11/15
49,7575,1986/11/15
49,7800,1986/11/15
49,8260,1986/11/15
49,5233,1986/11/15
49,6300,1986/11/15
49,5588,1986/11/15
49,7593,1986/11/15
49,5537,1986/11/15
49,8756,1986/11/15
49,9880,1986/11/15
49,1680,1986/11/15
49,1322,1986/11/15
49,5420,1986/11/15
49,2231,1986/11/15
49,2033,1986/11/15
50,2890,1986/11/16
50,8286,1986/11/16
50,1733,1986/11/16
50,5088,1986/11/16
50,3272,1986/11/16
50,8647,1986/11/16
50,0944,1986/11/16
50,6711,1986/11/16
50,1896,1986/11/16
50,4991,1986/11/16
50,1621,1986/11/16
50,4558,1986/11/16
50,0790,1986/11/16
50,6562,1986/11/16
50,3038,1986/11/16
50,5631,1986/11/16
50,0769,1986/11/16
50,1223,1986/11/16
50,0386,1986/11/16
50,6383,1986/11/16
50,7757,1986/11/16
50,1518,1986/11/16
50,4875,1986/11/16
51,8845,1986/11/22
51,2609,1986/11/22
51,4224,1986/11/22
51,3929,1986/11/22
51,4859,1986/11/22
51,8581,1986/11/22
51,8234,1986/11/22
51,8584,1986/11/22
51,8804,1986/11/22
51,0486,1986/11/22
51,7453,1986/11/22
51,3911,1986/11/22
51,9447,1986/11/22
51,7268,1986/11/22
51,8571,1986/11/22
51,5481,1986/11/22
51,7482,1986/11/22
51,0533,1986/11/22
51,2958,1986/11/22
51,6199,1986/11/22
51,3622,1986/11/22
52,4016,1986/11/23
52,2917,1986/11/23
52,3057,1986/11/23
52,2967,1986/11/23
52,7089,1986/11/23
52,6692,1986/11/23
52,6837,1986/11/23
52,6098,1986/11/23
52,4364,1986/11/23
52,4310,1986/11/23
52,6218,1986/11/23
52,1546,1986/11/23
52,1290,1986/11/23
52,4911,1986/11/23
52,0552,1986/11/23
52,2268,1986/11/23
52,0788,1986/11/23
52,9626,1986/11/23
52,0691,1986/11/23
